Designator,Mid X,Mid Y,Rotation,Layer
C1,162.816259,-92.817544,90.0,top
C10,184.211667,-95.6015,270.0,top
C11,164.33361,-95.321778,0.0,top
C12,164.310338,-96.318296,0.0,top
C14,176.661667,-92.2115,90.0,top
C15,176.671884,-97.858212,270.0,top
C16,162.331667,-91.1515,0.0,top
C17,155.511667,-94.3515,270.0,top
C18,155.546667,-96.6715,270.0,top
C19,139.700193,-115.281655,270.0,top
C2,163.822142,-92.822179,90.0,top
C20,146.925,-112.025,0.0,top
C22,167.17,-117.4,0.0,top
C23,165.25,-105.225,270.0,top
C24,163.65,-103.821122,270.0,top
C25,154.55,-104.5,0.0,top
C26,154.55,-106.1,0.0,top
C27,151.95,-115.5,0.0,top
C28,153.45,-117.1,0.0,top
C29,163.65,-120.475,90.0,top
C30,165.25,-118.9,90.0,top
C31,169.85,-116.8,180.0,top
C32,169.867512,-110.772299,0.0,top
C33,156.85,-102.9,90.0,top
C34,162.104686,-120.487246,270.0,top
C4,167.460006,-93.273743,0.0,top
C5,168.961667,-93.8115,90.0,top
C6,170.446667,-94.2915,0.0,top
C7,173.846667,-93.8115,90.0,top
C8,178.161667,-95.128583,0.0,top
C9,181.111667,-95.6015,270.0,top
D1,179.93375,-112.225,180.0,top
D2,179.90875,-109.325,180.0,top
D3,179.90875,-106.425,180.0,top
D4,167.15,-119.0,180.0,top
F2,134.5,-125.075,180.0,top
H1,127.55,-86.275,0.0,top
H2,127.55,-130.3,0.0,top
H3,186.55,-86.275,0.0,top
H4,186.55,-130.275,0.0,top
J10,128.45,-103.6,90.0,top
J3,143.35,-131.845,0.0,top
J4,175.495,-130.975,270.0,top
J5,159.07,-130.95,270.0,top
J6,187.411667,-95.1015,180.0,top
J7,134.2,-120.605,180.0,top
J8,133.95,-101.08,0.0,top
J9,128.45,-119.1,90.0,top
JP1,133.95,-113.870253,270.0,top
JP2,133.95,-108.8,270.0,top
L1,164.845473,-93.8065,90.0,top
L2,163.356667,-94.2915,0.0,top
L3,167.461667,-94.2915,0.0,top
L4,172.346667,-94.2915,0.0,top
L5,182.647995,-95.130171,0.0,top
L6,162.846667,-95.8065,90.0,top
L7,154.111667,-94.3315,90.0,top
R1,142.05,-114.525,180.0,top
R10,142.05,-121.3,90.0,top
R11,143.65,-121.275,270.0,top
R12,160.558869,-120.475782,270.0,top
R14,176.85375,-112.225,0.0,top
R15,176.85375,-109.325,0.0,top
R16,176.82875,-106.425,0.0,top
R17,150.175,-127.6,90.0,top
R18,152.7,-127.6,90.0,top
R19,155.275,-127.575,270.0,top
R2,139.700193,-107.531655,270.0,top
R20,157.8,-127.575,90.0,top
R3,175.671884,-97.8915,90.0,top
R4,175.662317,-92.194836,270.0,top
R7,136.201043,-108.35,90.0,top
R8,136.3,-114.35,90.0,top
R9,167.85,-121.425,270.0,top
U1,141.3,-111.15,180.0,top
U2,159.296667,-95.7415,0.0,top
U3,175.746667,-95.125,0.0,top
U4,160.25,-112.1,90.0,top
Y1,159.311667,-90.0265,270.0,top
Y2,169.95,-113.8,270.0,top
